Name          #image blur_depth	#image blur_depth
Abdullah_Gul	13	2	14	1
Abdullah_Gul	13	3	16	4
Abdullatif_Sener	1	1	2	3
Adel_Al-Jubeir	1	2	3	3
Greg_Ostertag	1	0	2	3
Gregory_Hines	1	2	2	2
Gus_Van_Sant	1	3	2	1
Gwendal_Peizerat	1	3	2	0
Gwyneth_Paltrow	4	1	5	4
Harry_Kalas	1	1	2	4
Hassan_Wirajuda	1	3	2	3
Heather_Mills	3	3	4	4
Heidi_Fleiss	1	4	3	3
Heidi_Fleiss	1	2	4	2
Hermann_Maier	1	0	2	3
Horst_Koehler	1	0	3	1
Ian_Thorpe	2	4	7	3
Ian_Thorpe	3	2	10	3
Ian_Thorpe	6	1	8	3
Isabella_Rossellini	1	0	2	3
Isabelle_Huppert	1	2	2	0
Ismail_Merchant	1	4	2	3
Jack_Grubman	1	4	2	2
Jack_Nicholson	2	1	3	0
Jacques_Chirac	22	0	44	3
Jacques_Chirac	30	2	33	2
Jacques_Chirac	31	4	52	1
Jacques_Rogge	4	4	6	1
Jake_Gyllenhaal	2	3	4	2
Jake_Gyllenhaal	3	4	4	1
James_Butts	1	3	2	3
James_Franco	1	0	2	4
James_Kelly	4	1	11	3
James_Kelly	9	4	11	4
James_Kopp	1	2	3	0
James_Kopp	2	2	3	1
James_Maguire	1	4	2	1
James_Smith	1	1	2	1
Jan_Ullrich	2	1	3	4
Jan_Ullrich	2	1	5	0
Janica_Kostelic	1	4	2	2
Javier_Weber	1	4	2	2
Javier_Weber	1	3	3	3
Jean-Claude_Juncker	1	2	2	4
Jean-Claude_Trichet	1	2	2	4
Jean-Marc_de_La_Sabliere	1	1	2	3
Jean-Pierre_Raffarin	2	0	6	0
Jean_Carnahan	1	2	2	1
Jefferson_Perez	1	1	2	1
Jennifer_Capriati	3	4	13	4
Jennifer_Capriati	24	2	29	2
Jennifer_Connelly	1	2	4	2
Jennifer_Connelly	3	0	4	0
Jennifer_Keller	2	3	4	4
Jennifer_Keller	3	3	4	1
Jeong_Se-hyun	4	1	5	3
Jeremy_Shockey	1	1	2	0
Zoran_Djindjic	3	2	4	3
Amporn_Falise	1	4	Christiane_Wulff	1	4
Amporn_Falise	1	0	Liza_Minnelli	2	1
Amporn_Falise	1	2	Zhang_Yimou	1	2
Amy_Gale	1	1	Frank_Murkowski	1	1
Ana_Palacio	5	3	Erika_Christensen	2	0
Ana_Palacio	6	0	Robert_Gordon_Card	1	4
Andrew_Caldecott	1	0	Joe_Strummer	1	0
Andrew_Shutley	1	1	Charles_Taylor	7	0
Andrew_Wetzler	1	0	Cristina_Torrens_Valero	1	3
Angela_Mascia-Frye	1	3	Derrick_Taylor	1	0
Ann_Godbehere	1	2	Paul_Newman	1	4
Ann_Godbehere	1	2	Tatiana_Kennedy_Schlossberg	1	1
Anna_Chicherova	1	2	Bob_Iger	1	4
Anna_Nicole_Smith	1	2	Tony_Shalhoub	4	0
Anne_Krueger	3	2	Lucrecia_Orozco	1	2
Anne_McLellan	2	0	Richard_Penniman	1	4
Anne_McLellan	2	2	Roman_Tam	1	1
Annette_Lu	1	0	Scott_Fawell	1	4
Annette_Lu	1	4	Svetlana_Belousova	1	4
Annie_Chaplin	1	4	Gloria_Gaynor	1	1
Annie_Chaplin	1	3	Ion_Tiriac	1	4
Annie_Chaplin	1	3	Michael_Keaton	1	1
Antonio_Palocci	4	3	Donald_Regan	1	2
Aretha_Franklin	1	4	Marc_Racicot	1	0
Armando_Avila_Panchame	1	2	Hamza_Atiya_Muhsen	1	4
Armando_Avila_Panchame	1	1	Hana_Urushima	1	0
Arthur_Johnson	1	4	Steve_Pagliuca	1	4
Ascencion_Barajas	1	2	Marissa_Jaret_Winokur	2	0
Ashlea_Talbot	1	0	Sean_Patrick_Thomas	1	0
Ashley_Judd	1	0	Pat_Burns	1	3
Asif_Ali_Zardari	1	1	Cristina_Torrens_Valero	1	3
Assad_Ahmadi	1	2	Jose_Cevallos	1	0
Astou_Ndiaye-Diatta	1	2	Scott_Yates	1	2
Augustin_Calleri	4	4	Brad_Miller	1	1
Augustin_Calleri	4	1	John_Jones	1	2
Babe_Ruth	1	0	Joshua_Perper	1	2
Barbara_Bach	1	4	Eli_Rosenbaum	1	0
Barbara_Becker	1	4	Gerhard_Boekel	1	3
Barbara_Roberts	1	3	Kirsten_Clark	1	0
Barry_Williams	1	2	Richard_Langille	1	2
Barzan_al-Tikriti	1	3	Jim_Haslett	1	0
Beecher_Ray_Kirby	1	1	Hashan_Tillakaratne	1	3
Begum_Khaleda_Zia	1	1	Jesse_Jackson	5	3
Ben_Cohen	1	1	Roger_Etchegaray	1	3
Ben_Cohen	1	3	Zach_Parise	1	0
Benjamin_McKenzie	1	1	Lisa_Leslie	1	4
Betsy_Coffin	1	4	Gerard_Tronche	1	3
Bill_Carmody	1	0	Michael_Sheehan	1	2
Bill_Carmody	1	1	Tippi_Hedren	1	2
Bill_Curry	1	4	Candice_Bergen	1	2
Bill_Frist	2	0	Malcolm_Wild	1	1
Bill_Frist	4	2	Donald_Pettit	2	0
Bill_Kollar	1	0	Phillip_Seymor_Hoffmann	1	1
Bill_McBride	8	4	John_Rowland	1	0
Bill_Sizemore	1	4	Calista_Flockhart	3	4
Billy_Boyd	1	3	Liza_Minnelli	3	0
Billy_Boyd	1	3	Robin_Williams	1	0
Bing_Crosby	1	3	Eric_Bana	1	3
Bing_Crosby	1	4	John_Moxley	1	3
Bing_Crosby	1	1	Leonid_Kuchma	5	3
Bob_Iger	1	1	Brian_Cowen	1	2
Bob_Iger	1	0	Steve_Lavin	6	0
Bob_Newhart	1	3	Marina_Canetti	1	4
Bob_Riley	1	4	Jim_Harrick	1	1
Bono	1	1	Chen_Shui-bian	2	3
Bono	2	1	Se_Hyuk_Joo	1	4
Brad_Miller	1	0	Chris_Noth	1	2
Brandon_Larson	1	2	James_Williams	1	4
Brandon_Lloyd	1	1	Zach_Parise	1	2
Brandon_Robinson	1	2	Mitchell_Garabedian	1	1
Brandon_Webb	1	4	Teddy_Kollek	1	0
Brian_Cowen	2	0	Dave_Johnson	1	1
Brian_Griese	1	2	Jennie_Garth	1	2
Brock_Berlin	1	3	Wendy_Selig	1	0
Brooke_Adams	1	4	Gilberto_Rodriguez_Orejuela	2	4
Brooke_Adams	1	2	Hussam_Mohammed_Amin	1	3
Bruce_Willis	1	1	Heather_Mills	2	2
Buddy_Ryan	1	1	Laurel_Clark	1	2
Buddy_Ryan	1	2	Roy_Romanow	1	4
Calvin_Joseph_Coleman	1	4	Ekaterina_Dmitriev	1	1
Calvin_Joseph_Coleman	1	1	Victor_Garber	1	3
Camilla_Parker_Bowles	2	3	Mary_Matalin	1	2
Camille_Lewis	1	2	Keith_Lockhart	1	3
Camille_Lewis	1	1	Melissa_Etheridge	1	2
Candice_Bergen	1	1	Masum_Turker	2	2
Candice_Bergen	2	4	Jake_Gyllenhaal	2	4
Candice_Bergen	2	1	Prospero_Pichay	1	2
Carey_Lowell	1	2	Helio_Castroneves	1	1
Carey_Lowell	1	1	Joshua_Harapko	1	3
Carlo_Ancelotti	1	0	Hugh_Miller	1	3
Carlos_Beltran	1	4	Shoshannah_Stern	1	0
Carlos_Ghosn	1	4	Renee_Zellweger	11	0
Carlos_Iturgaitz	1	1	Francisco_Maturana	1	2
Carlos_Manuel_Pruneda	1	1	Claudia_Coslovich	1	1
Carly_Gullickson	1	1	Mike_Helton	2	0
Caroline_Dhavernas	1	2	James_Smith	1	0
Carrie-Anne_Moss	4	3	Mike_Richter	1	2
Carson_Daly	1	0	Matthew_During	1	4
Casey_Crowder	1	0	Joe_Nichols	1	1
Casey_Crowder	1	4	Laszlo_Kovacs	1	0
Cecilia_Chang	1	0	Jeffery_Hendren	1	4
Cecilia_Cheung	1	0	Kirsten_Clark	1	2
Cecilia_Cheung	1	0	Simon_Chalk	1	1
Cedric_Benson	1	0	Greg_Hodge	1	2
Cesar_Maia	2	1	Karin_Viard	1	4
Chang_Jae_On	1	3	Oracene_Williams	1	4
Chante_Jawan_Mallard	1	4	Muhammad_Ali	5	3
Charla_Moye	1	4	Joe_Mantegna	1	0
Charla_Moye	1	4	Robert_Nillson	1	1
Charles_Cope	1	0	John_Franco	1	3
Charley_Armey	1	0	Jose_Cevallos	1	0
Charlie_Sheen	1	3	Deece_Eckstein	1	0
Charlie_Sheen	1	2	Janice_Goldfinger	1	0
Charlie_Zaa	2	2	William_Harrison	1	0
Charmaine_Crooks	1	2	Esad_Landzo	1	3
Charmaine_Crooks	1	2	Shigeru_Ishiba	1	2
Chawki_Armali	1	2	Hilmi_Akin_Zorlu	1	3
Chea_Sophara	1	3	Muhammad_Ali	6	0
Chen_Shui-bian	2	2	Simon_Cowell	1	0
Chen_Shui-bian	2	1	William_Nessen	1	4
Chen_Shui-bian	3	0	Elizabeth_Smart	1	1
Chita_Rivera	2	3	Jose_Luis_Chilavert	1	3
Chris_Andrews	1	0	Claire_De_Gryse	1	3
Chris_Andrews	1	2	Elinor_Caplan	2	3
Chris_Byrd	1	0	David_Alpay	1	0
Chris_Byrd	1	2	Lawrence_Di_Rita	1	2
Chris_Noth	1	4	Frank_Sinatra	1	2
Christian_Longo	2	1	Dustan_Mohr	1	0
Christiane_Wulff	1	0	Paul_Schrader	1	4
Christine_Ebersole	2	1	Vincent_Cianci_Jr	1	4
Christine_Todd_Whitman	2	3	Peter_Rasch	1	3
Christine_Todd_Whitman	5	3	Neil_Goldman	1	2
Christopher_Russell	1	4	Rosario_Dawson	1	3
Cindy_Taylor	1	1	Melissa_Joan_Hart	1	0
Claire_Danes	1	0	Mitchell_Potter	1	0
Claire_De_Gryse	1	4	Jim_Parque	1	4
Claire_De_Gryse	1	2	Soenarno	1	0
Claire_Leger	2	0	Elin_Nordegren	2	1
Coleen_Rowley	1	0	Courtney_Love	1	4
Colin_Campbell	1	3	Matt_Walters	1	2
Colleen_OClair	1	2	Kim_Hong-gul	1	2
Colleen_Ryan	1	0	Noah_Wyle	2	0
Conchita_Martinez	1	4	Moby	1	2
Cora_Cambell	1	0	Todd_Petit	1	2
Courtney_Love	1	2	Tsutomu_Takebe	1	3
Cristina_Torrens_Valero	1	4	Damarius_Bilbo	1	1
Cristina_Torrens_Valero	1	2	Etta_James	1	2
Damarius_Bilbo	1	3	Janis_Ruth_Coulter	1	4
Damarius_Bilbo	1	1	Sheila_Taormina	1	2
Dan_Ackroyd	1	2	Nikki_Teasley	1	4
Dan_Bylsma	1	1	Jim_Parque	1	3
Dan_Bylsma	1	1	Scott_Yates	1	4
Daniel_Comisso_Urdaneta	1	0	Jean-Marc_de_La_Sabliere	1	1
Daniel_Montgomery	1	1	Hassan_Wirajuda	1	3
Daniel_Zelman	1	3	David_Surrett	1	4
Daniele_Nardello	1	0	Peter_Hartz	1	4
Dariusz_Michalczewski	1	2	Julien_Boutter	1	2
Darvis_Patton	1	3	Estelle_Morris	1	0
Darvis_Patton	1	2	Gordon_Lightfoot	1	1
Darvis_Patton	1	0	Tammy_Lynn_Michaels	1	3
Dave_Johnson	1	0	Hank_Aaron	1	3
David_Braley	1	1	Gerard_Tronche	1	0
David_Kelley	1	4	Gerald_Calabrese	1	1
David_Shayler	1	3	Peter_Mullan	1	0
David_Surrett	1	0	Oracene_Williams	1	0
Dean_Sheremet	1	2	Marc_Racicot	1	4
Denise_van_Outen	1	4	Kevin_Satterfield	1	3
Dennis_Kozlowski	2	4	James_Ivory	1	0
Dennis_Kozlowski	2	0	Regina_Ip	1	2
Dennis_Kozlowski	2	2	Wendy_Selig	1	2
Denzel_Washington	4	1	Sung_Hong_Choi	1	0
Derrick_Battie	1	3	Lisa_Leslie	1	2
Diane_Green	1	2	Ruth_Christofferson	1	1
Diane_Green	1	1	Tim_Salmon	1	0
Dick_Armey	1	0	Tom_Glavine	2	3
Dirk_Kempthorne	1	0	George_Tenet	2	2
Dominique_de_Villepin	13	2	Hanns_Schumacher	1	4
Don_Carcieri	1	1	Jane_Rooney	1	4
Don_King	1	3	Philip_Zalewski	1	2
Don_King	1	3	Tab_Baldwin	1	1
Don_Lake	1	4	Elena_Dementieva	1	0
Donald_Keck	1	4	Julia_Ormond	1	2
Donald_Pettit	3	1	Michel_Kratochvil	1	3
Donald_Rumsfeld	40	3	Tamika_Catchings	1	3
Donna_Walker	1	1	Phil_Bredesen	1	3
Eddie_Sutton	1	0	George_Maxwell_Richards	1	0
Edith_Masai	1	4	Idi_Amin	1	0
Edward_Belvin	1	4	William_Harrison	1	2
Edward_Egan	1	2	Jim_Abbott	1	3
Edward_James_Olmos	1	4	Jesse_Harris	3	3
Edward_Seaga	1	4	Fatmir_Limaj	1	0
Elaine_Chao	1	1	Wilbert_Elki_Meza_Majino	1	3
Elena_Dementieva	1	1	Wilton_Gregory	1	2
Elin_Nordegren	1	3	Fredric_Seaman	1	0
Elin_Nordegren	2	0	Ghassan_Elashi	1	1
Elinor_Caplan	1	0	Henning_Scherf	1	0
Eliott_Spitzer	1	2	Jerry_Bruckheimer	1	1
Elisabeth_Welch	1	3	Francisco_Maturana	1	1
Elizabeth_Regan	1	2	Pierre_Boulanger	2	1
Elliott_Mincberg	1	0	Gene_Orza	1	2
Enrica_Fico	1	2	Erwin_Abdullah	1	1
Eric_Dubin	1	0	Yang_Pao-yu	1	0
Eric_Lindros	1	4	Melvin_Talbert	1	2
Eric_Lindros	1	0	Sterling_Hitchcock	1	4
Eric_Snow	1	0	Robert_McKee	1	0
Fabiola_Zuluaga	1	1	Rose_Linkins	1	4
Farouk_Kaddoumi	1	2	Gina_Gershon	1	0
Farouk_Kaddoumi	1	3	Will_Smith	2	2
Felipe_Perez_Roque	2	4	Lloyd_Ward	2	1
Festus_Mogae	1	2	Neil_Moritz	1	4
Filip_De_Winter	1	1	Stuart_Townsend	1	2
Filip_De_Winter	1	3	Sue_Grafton	1	3
Flavia_Pennetta	1	3	Mikulas_Dzurinda	2	2
Flor_Montulo	1	1	Steve_Blankenship	1	1
Floyd_Mayweather	1	4	Lou_Lang	1	3
Fran_Drescher	2	4	William_Martin	1	1
Francis_Ricciardone	1	4	Gene_Sauers	1	4
Franco_Frattini	1	2	Gholamreza_Aghazadeh	1	0
Frank_Sinatra	1	0	Vicente_Fox	23	0
Frank_Van_Ecke	1	4	Gary_Gero	1	1
Fred_Durst	1	3	Patricia_Phillips	1	3
Fred_Durst	1	3	Rose_Linkins	1	3
Fred_Durst	1	1	Tara_Reid	1	4
Frederick_Madden	1	0	Luis_Ernesto_Derbez_Bautista	3	3
Gary_Leon_Ridgway	1	1	Lisa_Raymond	1	0
Gary_Leon_Ridgway	1	1	Phillip_Seymor_Hoffmann	1	3
Gary_Sayler	1	4	Nila_Ferran	1	3
George_Foreman	1	2	George_Lucas	1	1
Georgia_Giddings	1	2	Johnny_Carson	1	1
Gerard_Tronche	1	2	Jana_Pittman	1	3
Gerhard_Schroeder	3	3	Izzat_Ibrahim	1	2
Ghassan_Elashi	1	1	Jesse_Ventura	2	1
Ghassan_Elashi	1	2	Peter_Rasch	1	3
Gideon_Yago	1	2	Robert_Gordon_Card	1	3
Gina_Gershon	1	3	Stacey_Dales-Schuman	1	2
Glenn_Tilton	1	0	Victor_Hanescu	1	0
Gordon_Brown	12	3	Monica_Gabrielle	1	2
Gordon_Campbell	1	4	Pierre_Boulanger	2	4
Gordon_Lightfoot	1	0	Janez_Drnovsek	1	4
Grace_Kelly	1	3	Leslie_Moonves	1	1
Greg_Kinnear	1	2	Tim_Salmon	1	3
Gregory_Geoffroy	2	0	Paul_Burrell	11	4
Gregory_Hines	1	4	Mary_Frances_Seiter	1	3
Gregory_Peck	1	2	John_Lawrence	1	0
Gregory_Peck	1	0	John_Lynch	1	1
Guillaume_Cannet	1	1	Mark_Mulder	1	2
Guillaume_Cannet	1	2	Mohammad_Khatami	5	3
Gunilla_Backman	1	1	Jennifer_Granholm	1	2
Gunilla_Backman	1	1	Ray_Sherman	1	3
Gustavo_Franco	1	4	Melissa_Joan_Hart	1	1
Gwendal_Peizerat	2	2	Joe_Nichols	2	1
Gwyneth_Paltrow	5	0	Mike_Richter	1	4
Halbert_Fillinger	1	1	Rachel_Hunter	1	1
Hank_Aaron	1	1	Ron_Howard	2	2
Harland_Braun	1	4	Lisa_Leslie	1	2
Harvey_Fierstein	1	2	Mike_Slive	1	4
Helene_Eksterowicz	1	2	Mario_Lemieux	1	0
Helio_Castroneves	1	3	Joxel_Garcia	1	0
Hermann_Maier	1	4	Robin_Williams	1	3
Howard_Smith	2	4	Tim_Pawlenty	1	3
Hubie_Brown	1	2	Yoon_Jeong_Cho	1	3
Hunter_Bates	1	3	James_Williams	1	0
Hussam_Mohammed_Amin	1	4	Mike_Smith	1	2
Hussam_Mohammed_Amin	1	3	Princess_Hisako	1	0
Hutomo_Mandala_Putra	1	3	Thomas_Mesereau_Jr	1	4
Iban_Mayo	2	2	Yves_Brodeur	1	0
Imad_Moustapha	1	2	Will_Ofenheusle	1	0
Ion_Tiriac	1	0	Lawrence_Roberts	1	1
Irina_Yatchenko	1	4	Pedro_Solbes	4	4
Isabelle_Huppert	1	2	Pedro_Solbes	1	1
Isaiah_Washington	2	0	Lee_Baca	1	4
Islam_Karimov	1	3	Shireen_Amir_Begum	1	3
Ismail_Cem	1	4	Seth_Gorney	1	2
Ismail_Merchant	1	2	Joseph_Deiss	1	0
Ivan_Lee	1	1	Paul-Henri_Mathieu	3	1
Izzat_Ibrahim	1	3	Tina_Sinatra	1	0
Jack_Welch	1	4	Rick_Dinse	2	4
Jack_Welch	1	2	William_Umbach	1	4
Jalal_Talabani	1	4	Jean-Marc_Olive	1	4
James_Franco	2	2	Lokendra_Bahadur_Chand	1	3
James_Ivory	1	3	Paul_Martin	7	1
James_Lockhart	1	2	Lisa_Girman	1	0
Jan_Paul_Miller	1	2	Lynne_Slepian	1	4
Jan_Ullrich	1	0	William_Rehnquist	1	1
Janet_Chandler	1	4	Zoe_Ball	1	3
Janis_Ruth_Coulter	1	4	Laurent_Woulzy	1	1
Jason_Clermont	1	3	Vladimir_Ustinov	1	4
Jason_Kapono	1	3	Patricia_Medina	1	0
Jason_Mewes	1	1	Will_Smith	1	1
Jason_White	1	4	Wolfgang_Clement	1	3
Jean-Pierre_Raffarin	2	3	Robert_Horan	2	3
Jean-Pierre_Raffarin	6	2	Paul_Kariya	1	1
Jeane_Kirkpatrick	1	1	Richard_Carl	1	3
Jeane_Kirkpatrick	1	1	Tamika_Catchings	1	1
Jeanne_Anne_Schroeder	1	3	Yoriko_Kawaguchi	13	3
Jeannette_Biedermann	1	0	Roy_Moore	6	2
Jeffrey_Pfeffer	1	0	Terry_Lynn_Barton	1	4
Jen_Bice	1	3	Lily_Tomlin	2	1
Jen_Bice	1	0	Martha_Burk	2	4
Jenna_Elfman	1	4	Mack_Brown	1	0
Jenna_Elfman	1	1	Steffi_Graf	5	1
Jenna_Elfman	1	4	Willie_Wilson	1	4
Jennifer_Keller	4	3	Paula_Abdul	1	0
Jennifer_Thompson	1	4	Serge_Melac	1	4
Jeremy_Greenstock	7	3	Jim_Flaherty	1	0
Jerry_Bruckheimer	1	1	John_Blaney	1	0
Jerry_Jones	1	4	Robert_Woody_Johnson	1	2
Jesse_Ventura	1	0	Reggie_Lewis	1	2
Jesse_Ventura	3	1	Roy_Romanow	1	3
Jessica_Biel	1	4	Jim_Freudenberg	1	4
Jim_Calhoun	1	1	Perry_Farrell	1	4
Jim_Cantalupo	1	0	Joe_Pantoliano	1	4
Jim_Hahn	4	3	Vaclav_Havel	3	3
Jim_Hahn	4	3	Vicente_Fernandez	2	4
Jim_Letten	1	2	Victor_Hanescu	1	4
Joaquin_Phoenix	1	4	Kajsa_Bergqvist	1	4
Joe_Pantoliano	1	1	Robin_Tunney	1	4
John_Belushi	1	3	Mahima_Chaudhari	1	4
John_Blaney	2	4	Sam_Brownback	1	2
John_Franco	1	0	Teri_Files	1	2
John_Garamendi	2	3	Peter_Goldmark	1	0
John_Kerr	1	2	Susan_Whelan	1	1
John_Lynch	1	1	Stefano_Gabbana	1	4
John_Mayer	3	4	Miguel_Jimenez	1	3
John_McCallum	1	1	Mark_Andrew	1	3
John_Rowland	2	4	Robert_Lee_Yates_Jr	1	0
John_Walsh	2	4	Paul_Hogan	2	2
Johnny_Depp	2	2	Scott_Dickson	1	3
Jorge_Arce	1	2	Samuel_Waksal	3	2
Jorge_Quiroga	1	0	Ramona_Rispton	1	2
Jorge_Quiroga	1	3	Surakait_Sathirathai	1	0
Jose_Bove	1	3	Michalis_Chrisohoides	1	0
Jose_Bove	1	3	Princess_Diana	1	4
Jose_Luis_Chilavert	1	0	Sofyan_Dawood	1	4
Juan_Carlos	1	1	Patricia_Phillips	1	0
Judy_Dean	1	0	Kristanna_Loken	1	3
Julia_Ormond	1	4	Randy_Dryer	1	2
Julio_Cesar_Chavez	1	1	Marc_Racicot	1	4
Kaoru_Hasuike	1	4	Tom_Foy	1	2
Karen_Allen	1	3	LeRoy_Millette_Jr	1	0
Karen_Allen	1	0	Rick_Bragg	1	3
Karl-Heinz_Rummenigge	1	0	Wayne_Newton	1	2
Katie_Boone	1	3	Terri_Clark	1	4
Keith_Osik	1	0	Robert_Nardelli	1	2
Kent_Robinson	1	1	Marquier_Montano_Contreras	1	3
Kevin_Gil	1	2	Mary_Bono	1	4
Kevin_Hearn	1	3	Todd_Haynes	3	2
Khader_Rashid_Rahim	1	4	Martha_Burk	1	4
Khader_Rashid_Rahim	1	4	Michael_Arif	1	0
Kim_Yong-il	2	1	Terri_Clark	1	2
Koichi_Tanaka	1	1	Sterling_Hitchcock	1	2
Kosuke_Kitajima	2	3	Qazi_Hussain_Ahmed	1	0
Kristin_Davis	3	4	Steven_Van_Zandt	1	1
Kurt_Hellstrom	1	4	Manuel_Pellegrini	1	0
Laszlo_Kovacs	1	0	Michael_Arif	1	4
Laura_Elena_Harring	1	3	Rowan_Williams	1	1
Laurel_Clark	1	0	Rahul_Dravid	1	4
Lawrence_Di_Rita	1	4	Tim_Allen	2	3
Lawrence_Roberts	1	1	Malik_Mahmud	1	1
Lea_Fastow	1	4	Todd_Parrott	1	2
Lee_Baca	1	4	Pat_Summerall	1	2
Leisel_Jones	1	0	Steven_Hatfill	1	0
Lena_Katina	1	2	Queen_Noor	1	4
Leonard_Glick	1	1	Terrence_Trammell	1	0
Leonard_Schrank	1	1	Ozzy_Osbourne	1	3
Leslie_Wiser_Jr	1	3	Mireya_Moscoso	1	2
Lisa_Murkowski	1	1	Svetlana_Belousova	1	4
Lisa_Raymond	2	3	Robert_Redford	7	1
Ludwig_Ovalle	1	4	Mauricio_Macri	1	0
Luis_Pujols	1	4	Rohman_al-Ghozi	1	1
Makhdoom_Amin_Fahim	1	4	Tang_Jiaxuan	5	2
Malcolm_Wild	1	0	Owen_Wilson	2	4
Mamdouh_Habib	1	4	Polona_Bas	1	2
Manijeh_Hekmat	1	3	Richard_Carl	1	3
Manijeh_Hekmat	1	3	Se_Hyuk_Joo	1	2
Marc_Anthony	1	2	Vince_Vaughan	1	0
Margie_Puente	1	3	Rafiq_Hariri	1	1
Maria_Callas	1	0	Melchor_Cob_Castro	1	0
Mario_Lemieux	1	3	Pedro_Solbes	4	1
Marissa_Jaret_Winokur	1	2	Vincent_Sombrotto	1	2
Mark_Dacey	2	2	Russ_Ortiz	1	1
Mark_Martin	1	2	Vladimir_Spidla	2	3
Mark_Mishkin	1	2	Nick_Reilly	1	3
Mark_Mishkin	1	3	Shawn_Marion	1	3
Marricia_Tate	1	4	Rita_Moreno	2	1
